,date,lastSyncTime,steps,distance,runDistance,calories,heartRate
155,2019-12-03,2019-12-06 07:12:58,4139,2741,365,87,102
156,2019-12-04,2019-12-06 07:12:58,11651,8204,475,277,86
157,2019-12-05,2019-12-06 07:12:58,13301,9207,744,295,78
158,2019-12-06,2019-12-08 11:09:14,4692,3134,350,105,79
159,2019-12-07,2019-12-08 11:09:14,4706,3077,385,102,102
160,2019-12-08,2019-12-09 16:35:09,6352,4406,412,156,86
161,2019-12-09,2019-12-11 04:12:57,20487,14272,1353,480,78
162,2019-12-10,2019-12-11 04:12:57,18881,13605,1055,464,115
163,2019-12-11,2019-12-18 09:58:50,5577,3769,354,123,79
164,2019-12-12,2019-12-18 09:58:50,17371,13082,424,445,102
165,2019-12-13,2019-12-18 09:58:51,11494,8322,287,281,86
166,2019-12-14,2019-12-18 09:58:52,5205,3465,300,114,78
167,2019-12-15,2019-12-18 09:58:52,12427,8730,623,289,115
168,2019-12-16,2019-12-18 09:58:54,10690,7295,701,247,79
169,2019-12-17,2019-12-18 09:58:53,12835,8816,486,287,112
170,2019-12-18,2019-12-21 04:24:14,18650,13410,589,439,98
171,2019-12-19,2019-12-21 04:24:13,11664,8135,438,264,86
172,2019-12-20,2019-12-21 04:24:14,16504,11889,434,389,78
173,2019-12-21,2019-12-22 15:06:52,3901,2563,340,86,115
174,2019-12-22,2019-12-23 03:58:38,12197,8625,501,287,79
175,2019-12-23,2019-12-26 09:13:05,4321,2904,250,93,71
176,2019-12-24,2019-12-26 09:13:05,4096,2766,264,94,63
177,2019-12-25,2019-12-26 09:13:07,17960,12893,688,432,94
178,2019-12-26,2019-12-27 14:40:53,15805,11116,820,369,102
179,2019-12-27,2019-12-28 04:06:30,13483,9444,705,312,86
180,2019-12-28,2020-01-06 03:46:59,4473,2930,383,98,78
181,2019-12-29,2020-01-06 03:46:59,11348,7952,608,276,115
182,2019-12-30,2020-01-06 03:46:59,15010,11071,287,381,79
183,2019-12-31,2020-01-06 03:46:59,15757,11498,373,377,71
184,2020-01-01,2020-01-06 03:47:00,3432,2307,230,75,63
185,2020-01-02,2020-01-06 03:47:00,4695,3110,367,106,94
186,2020-01-03,2020-01-06 03:47:00,4589,3032,322,99,115
187,2020-01-04,2020-01-06 03:47:00,3370,2230,307,76,79
188,2020-01-05,2020-01-06 03:47:00,5782,3940,448,132,71
189,2020-01-06,2020-01-09 10:01:35,17774,13106,330,432,63
190,2020-01-07,2020-01-09 10:01:36,5737,3873,337,133,94
191,2020-01-08,2020-01-09 10:01:36,11615,8284,436,271,73
192,2020-01-09,2020-01-13 05:19:13,3474,2315,208,76,74
193,2020-01-10,2020-01-13 05:19:14,5048,3334,254,113,71
194,2020-01-11,2020-01-13 05:19:14,3280,2152,234,73,63
195,2020-01-12,2020-01-13 05:19:14,5723,3776,455,128,94
196,2020-01-13,2020-01-19 05:07:12,11055,7911,495,267,55
197,2020-01-14,2020-01-19 05:07:12,16888,12362,415,402,73
198,2020-01-15,2020-01-19 05:07:12,9669,6956,300,229,93
199,2020-01-16,2020-01-19 05:07:13,5549,3872,317,137,73
200,2020-01-17,2020-01-19 05:07:13,5947,4121,268,138,73
201,2020-01-18,2020-01-19 05:07:13,3823,2500,418,88,93
202,2020-01-19,2020-01-20 04:09:22,5360,3545,280,117,73
203,2020-01-20,2020-01-22 04:57:06,8021,5426,476,183,74
204,2020-01-21,2020-01-24 09:11:29,8274,5789,461,198,73
205,2020-01-22,2020-01-24 09:11:30,6327,4261,361,142,115
206,2020-01-23,2020-01-24 09:11:30,11705,8458,453,291,79
207,2020-01-24,2020-01-25 04:34:00,9383,6333,534,203,71
208,2020-01-25,2020-01-27 06:03:58,7607,5145,615,175,63
209,2020-01-26,2020-01-27 06:03:58,14228,9981,653,324,94
210,2020-01-27,2020-02-01 05:26:51,13284,9493,267,311,55
211,2020-01-28,2020-02-01 05:26:51,3582,2342,286,79,73
212,2020-01-29,2020-02-01 05:26:51,12993,9058,661,298,93
213,2020-01-30,2020-02-01 05:26:51,17211,11912,726,385,73
214,2020-01-31,2020-02-01 05:26:52,13850,9478,727,302,74
215,2020-02-01,2020-02-02 08:31:13,9688,6885,489,227,66
